chrom1	start1	end1	chrom2	start2	end2	loop_id	source_loop_id	control_count	experimental_count
chr2L	10554251	10556251	chr2L	13664251	13666251	L1_random_1	L1	0	0
chr2L	12777703	12779703	chr2L	15887703	15889703	L1_random_2	L1	0	0
chr2L	17399229	17401229	chr2L	20509229	20511229	L1_random_3	L1	0	0
chr2L	8169081	8171081	chr2L	11279081	11281081	L1_random_4	L1	0	0
chr2L	3702259	3704259	chr2L	6812259	6814259	L1_random_5	L1	0	1
chr2L	12993585	12995585	chr2L	16103585	16105585	L1_random_6	L1	0	0
chr2L	3373050	3375050	chr2L	6483050	6485050	L1_random_7	L1	0	0
chr2L	18171204	18173204	chr2L	21281204	21283204	L1_random_8	L1	0	0
chr2L	4578356	4580356	chr2L	7688356	7690356	L1_random_9	L1	0	1
chr2L	19130483	19132483	chr2L	22240483	22242483	L1_random_10	L1	1	2
chr2L	17182069	17184069	chr2L	20292069	20294069	L1_random_11	L1	0	1
chr2L	14046120	14048120	chr2L	17156120	17158120	L1_random_12	L1	0	0
chr2L	14654038	14656038	chr2L	17764038	17766038	L1_random_13	L1	1	1
chr2L	16988373	16990373	chr2L	20098373	20100373	L1_random_14	L1	0	0
chr2L	16820895	16822895	chr2L	19930895	19932895	L1_random_15	L1	1	0
chr2L	12161048	12163048	chr2L	15271048	15273048	L1_random_16	L1	0	0
chr2L	2884083	2886083	chr2L	5994083	5996083	L1_random_17	L1	1	0
chr2L	7827642	7829642	chr2L	10937642	10939642	L1_random_18	L1	2	1
chr2L	19462294	19464294	chr2L	22572294	22574294	L1_random_19	L1	1	0
chr2L	6419583	6421583	chr2L	9529583	9531583	L1_random_20	L1	4	4
chr2L	12343729	12345729	chr2L	15453729	15455729	L1_random_21	L1	0	0
chr2L	15290262	15292262	chr2L	18400262	18402262	L1_random_22	L1	0	0
chr2L	11041503	11043503	chr2L	14151503	14153503	L1_random_23	L1	0	0
chr2L	2625577	2627577	chr2L	5735577	5737577	L1_random_24	L1	1	0
chr2L	10687756	10689756	chr2L	13797756	13799756	L1_random_25	L1	0	0
chr2L	12180170	12182170	chr2L	15290170	15292170	L1_random_26	L1	0	0
chr2L	3145420	3147420	chr2L	6255420	6257420	L1_random_27	L1	1	0
chr2L	4940186	4942186	chr2L	8050186	8052186	L1_random_28	L1	0	0
chr2L	3633698	3635698	chr2L	6743698	6745698	L1_random_29	L1	1	0
chr2L	8628115	8630115	chr2L	11738115	11740115	L1_random_30	L1	0	1
chr2L	534474	536474	chr2L	3644474	3646474	L1_random_31	L1	0	0
chr2L	7632162	7634162	chr2L	10742162	10744162	L1_random_32	L1	1	1
